title,headline,significance,location,address,city,state,zipcode,latitude,longitude,status,subject,earliestbuildingdate,datedestroyed,rennovationsyear,orginalarchitect,additionalarchitect,filename,format,rights,objectid
AME Book Concern,,,Center City,631 Pine St.,Philadelphia,PA,19106,39.944263,-75.152949,success,,0,0,0,unknown,unknown,https://images.nypl.org/index.php?id=1225582&t=w,IMAGE,New York Public Library,dream001
Benezet's School / Quaker African School House,,,Center City,Willings Alley,Philadelphia,PA,19106,39.94642,-75.147316,success,school,0,0,0,unknown,unknown,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,JPEG,,dream002
Benjamin Banneker Institute,,,Center City,409 S. 11th St.,Philadelphia,PA,19147,39.944331,-75.159751,success,,0,0,0,unknown,unknown,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,JPEG,,dream003
College Settlement / W. E. B. DuBois House,,,Center City,617 Rodman St.,Philadelphia,PA,19147,39.94321,-75.158547,doubt,settlement house,0,0,0,unknown,unknown,,NONE,,dream004
Colored Industrial School,,,Center City,20th below Walnut St.,Philadelphia,PA,,39.990821,-75.168428,doubt,school,0,0,0,unknown,unknown,,NONE,,dream005
Douglass Hotel (Billie Holiday Residence),,,Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,39.943947,-75.159541,doubt,hotel,1796,0,1926,unknown,unknown,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream006
Dunbar Theater / Lincoln Theater,,,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,39.990821,-75.168428,doubt,theater,0,0,0,unknown,unknown,https://3wev1f3oz92s4a12494el03m-wpengine.netdna-ssl.com/wp-content/uploads/2017/03/Lincoln-Marquee-dettail-25412-0-B.jpg,JPEG,,dream007
Female Anti-Slavery Society,,,Center City,107 N. 5th St.,Philadelphia,PA,19106,39.966843,-75.145813,doubt,,0,0,0,unknown,unknown,https://hsp.org/sites/default/files/pas.jpg,JPEG,,dream008
First African Baptist Church Cemetery,,,Center City,8th and Vine Sts.,Philadelphia,PA,19106,39.990821,-75.168428,doubt,cemetery,1796,0,0,unknown,unknown,,,,dream009
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,,,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,39.963113,-75.229813,doubt,church,0,0,0,unknown,unknown,,,,dream010
Free African Society,,,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,39.94258,-75.149553,doubt,,0,0,0,unknown,unknown,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,JPEG,,dream011
Grendel's Lair,,,Center City,500 South St.,Philadelphia,PA,19147,39.941747,-75.150875,success,,0,0,0,unknown,unknown,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,JPEG,,dream012
Historic St. George's Methodist Church,,,Center City,235 N. 4th St.,Philadelphia,PA,19106,39.992082,-75.138301,doubt,church,1767,0,1812,unknown,unknown,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,JPEG,,dream013
"James Forten, Sr. House / Charlotte Forten House",,,Center City,336 Lombard St.,Philadelphia,PA,19147,39.943947,-75.159541,doubt,dwelling,0,0,0,unknown,unknown,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream014
Liberation of Jane Johnson,,,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,39.990821,-75.168428,doubt,,0,0,0,unknown,unknown,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,IMAGE,,dream015
Lombard Street Riot,,,Center City,6th & Lombard,Philadelphia,PA,19147,39.94258,-75.149553,doubt,,9,0,0,unknown,unknown,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,JPEG,,dream016
Mayor Richardson Dilworth House,,,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,39.949982,-75.150576,doubt,dwelling,0,0,0,unknown,unknown,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,JPEG,,dream017
Octavius V. Catto House Site,,,Center City,814 South St.,Philadelphia,PA,19147,39.942303,-75.156023,success,dwelling,0,1990,0,unknown,unknown,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,IMAGE,,dream018
